Company_Name,Year,Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER,Current_Stock,Future_Stock
삼성전자,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,5997.0,8.5,"{'Low': 49500, 'High': 50960, 'Close': 50960}","{'Low': 38200, 'High': 38900, 'Close': 38700}"
삼성전자,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,6461.0,5.99,"{'Low': 38200, 'High': 38900, 'Close': 38700}","{'Low': 55700, 'High': 56600, 'Close': 55800}"
삼성전자,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3166.0,17.62,"{'Low': 55700, 'High': 56600, 'Close': 55800}","{'Low': 77300, 'High': 81300, 'Close': 81000}"
삼성전자,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3841.0,21.09,"{'Low': 77300, 'High': 81300, 'Close': 81000}","{'Low': 78100, 'High': 79500, 'Close': 78300}"
삼성전자,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,5777.0,13.55,"{'Low': 78100, 'High': 79500, 'Close': 78300}","{'Low': 55300, 'High': 56200, 'Close': 55300}"
삼성전자,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,8057.0,6.86,"{'Low': 55300, 'High': 56200, 'Close': 55300}",0
SK하이닉스,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,15073.0,5.08,"{'Low': 75200, 'High': 76700, 'Close': 76500}","{'Low': 60500, 'High': 62300, 'Close': 60500}"
SK하이닉스,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,22255.0,2.72,"{'Low': 60500, 'High': 62300, 'Close': 60500}","{'Low': 94100, 'High': 96300, 'Close': 94100}"
SK하이닉스,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,2943.0,31.97,"{'Low': 94100, 'High': 96300, 'Close': 94100}","{'Low': 114500, 'High': 118500, 'Close': 118500}"
SK하이닉스,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,6952.0,17.05,"{'Low': 114500, 'High': 118500, 'Close': 118500}","{'Low': 130000, 'High': 133500, 'Close': 131000}"
SK하이닉스,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,13989.0,9.36,"{'Low': 130000, 'High': 133500, 'Close': 131000}","{'Low': 74700, 'High': 75600, 'Close': 75000}"
SK하이닉스,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,3242.0,23.13,"{'Low': 74700, 'High': 75600, 'Close': 75000}",0
LG에너지솔루션,2017,,,,,,,,,,,,,
LG에너지솔루션,2018,,,,,,,,,,,,,
LG에너지솔루션,2019,,,,,,,,,,,,,
LG에너지솔루션,2020,,,,,,,,,,,,,
LG에너지솔루션,2021,,,,,,,,,,,,,
LG에너지솔루션,2022,,,,,,,,,,,,,
삼성바이오로직스,2017,0.0,0.0,0.0,P,P,L,30.79,14.53,19.0,-1466.0,-250.11,"{'Low': 362704, 'High': 369128, 'Close': 366658}","{'Low': 372587, 'High': 391365, 'Close': 381977}"
삼성바이오로직스,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Turned,26.61,14.98,18.97,3387.0,112.78,"{'Low': 372587, 'High': 391365, 'Close': 381977}","{'Low': 423485, 'High': 436827, 'Close': 427932}"
삼성바이오로직스,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3067.0,139.53,"{'Low': 423485, 'High': 436827, 'Close': 427932}","{'Low': 806449, 'High': 823250, 'Close': 816333}"
삼성바이오로직스,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3642.0,224.14,"{'Low': 806449, 'High': 823250, 'Close': 816333}","{'Low': 885513, 'High': 947776, 'Close': 892432}"
삼성바이오로직스,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,5949.0,150.01,"{'Low': 885513, 'High': 947776, 'Close': 892432}","{'Low': 820000, 'High': 831000, 'Close': 821000}"
삼성바이오로직스,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,11442.0,71.75,"{'Low': 820000, 'High': 831000, 'Close': 821000}",0
삼성전자우,2017,,,,,,,,,,,,"{'Low': 40260, 'High': 41800, 'Close': 41800}","{'Low': 31250, 'High': 31800, 'Close': 31750}"
삼성전자우,2018,,,,,,,,,,,,"{'Low': 31250, 'High': 31800, 'Close': 31750}","{'Low': 45400, 'High': 45850, 'Close': 45400}"
삼성전자우,2019,,,,,,,,,,,,"{'Low': 45400, 'High': 45850, 'Close': 45400}","{'Low': 71500, 'High': 74000, 'Close': 73600}"
삼성전자우,2020,,,,,,,,,,,,"{'Low': 71500, 'High': 74000, 'Close': 73600}","{'Low': 71200, 'High': 72000, 'Close': 71200}"
삼성전자우,2021,,,,,,,,,,,,"{'Low': 71200, 'High': 72000, 'Close': 71200}","{'Low': 50400, 'High': 51100, 'Close': 50500}"
삼성전자우,2022,,,,,,,,,,,,"{'Low': 50400, 'High': 51100, 'Close': 50500}",0
기아,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,2414.0,13.88,"{'Low': 32750, 'High': 33500, 'Close': 33500}","{'Low': 33150, 'High': 33900, 'Close': 33700}"
기아,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,2883.0,11.69,"{'Low': 33150, 'High': 33900, 'Close': 33700}","{'Low': 44000, 'High': 44950, 'Close': 44300}"
기아,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,4556.0,9.72,"{'Low': 44000, 'High': 44950, 'Close': 44300}","{'Low': 61900, 'High': 63000, 'Close': 62400}"
기아,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3710.0,16.82,"{'Low': 61900, 'High': 63000, 'Close': 62400}","{'Low': 82100, 'High': 83900, 'Close': 82200}"
기아,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,11874.0,6.92,"{'Low': 82100, 'High': 83900, 'Close': 82200}","{'Low': 59300, 'High': 60600, 'Close': 59300}"
기아,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,13495.0,4.39,"{'Low': 59300, 'High': 60600, 'Close': 59300}",0
현대차,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,14993.0,10.4,"{'Low': 152000, 'High': 156000, 'Close': 156000}","{'Low': 117500, 'High': 120000, 'Close': 118500}"
현대차,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Turned,P_Contd,26.61,14.98,18.97,5632.0,21.04,"{'Low': 117500, 'High': 120000, 'Close': 118500}","{'Low': 120000, 'High': 121500, 'Close': 120500}"
현대차,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Turned,P_Contd,21.54,7.1,8.63,11310.0,10.65,"{'Low': 120000, 'High': 121500, 'Close': 120500}","{'Low': 189000, 'High': 193500, 'Close': 192000}"
현대차,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,5454.0,35.2,"{'Low': 189000, 'High': 193500, 'Close': 192000}","{'Low': 208500, 'High': 212000, 'Close': 209000}"
현대차,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,18979.0,11.01,"{'Low': 208500, 'High': 212000, 'Close': 209000}","{'Low': 150500, 'High': 154000, 'Close': 151000}"
현대차,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,28521.0,5.29,"{'Low': 150500, 'High': 154000, 'Close': 151000}",0
셀트리온,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,2898.0,70.31,"{'Low': 200979, 'High': 207982, 'Close': 203744}","{'Low': 192875, 'High': 201741, 'Close': 197310}"
셀트리온,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,1932.0,102.13,"{'Low': 192875, 'High': 201741, 'Close': 197310}","{'Low': 167580, 'High': 171757, 'Close': 168046}"
셀트리온,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,2369.0,70.94,"{'Low': 167580, 'High': 171757, 'Close': 168046}","{'Low': 331848, 'High': 345084, 'Close': 339413}"
셀트리온,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,3855.0,88.04,"{'Low': 331848, 'High': 345084, 'Close': 339413}","{'Low': 190728, 'High': 194581, 'Close': 190729}"
셀트리온,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,4160.0,45.85,"{'Low': 190728, 'High': 194581, 'Close': 190729}","{'Low': 159500, 'High': 165000, 'Close': 160500}"
셀트리온,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,3894.0,41.22,"{'Low': 159500, 'High': 165000, 'Close': 160500}",0
POSCO홀딩스,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,34464.0,9.65,"{'Low': 329000, 'High': 335000, 'Close': 332500}","{'Low': 241000, 'High': 245000, 'Close': 243000}"
POSCO홀딩스,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,20911.0,11.62,"{'Low': 241000, 'High': 245000, 'Close': 243000}","{'Low': 236500, 'High': 239000, 'Close': 236500}"
POSCO홀딩스,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,22823.0,10.36,"{'Low': 236500, 'High': 239000, 'Close': 236500}","{'Low': 266500, 'High': 274000, 'Close': 272000}"
POSCO홀딩스,2020,6.937796507031208,31.20968426588971,1.6759186572823677,L_Turned,P_Contd,P_Contd,25.28,6.8,8.52,20165.0,13.49,"{'Low': 266500, 'High': 274000, 'Close': 272000}","{'Low': 274500, 'High': 280000, 'Close': 274500}"
POSCO홀딩스,2021,16.738122795295123,35.86450129562061,49.58173390461269,L_Turned,P_Contd,P_Contd,29.98,12.33,16.03,87330.0,3.14,"{'Low': 274500, 'High': 280000, 'Close': 274500}","{'Low': 276000, 'High': 289000, 'Close': 276500}"
